"english","tulu"
"go to mccall paddujar","ಮೆಕ್ಲ್ ಜೋಡು ಪಾಡುಜೆರ್"
"How much loan paper in kurukshetra","ಕುದುರೆ ಕೋಲ  ಪಂದ್ ಲಾ ಕೆಲವು ಕಡೆಟ್ ಪನ್ಪೆರ್"
"Lift the left leg and sit on the right side of the ball.","೨೦೧೩ಡ್  ಖತ್ರೋನ್ ಕೆ ಖಿಲಾಡಿ ಸೀಸನ್ ೧ ಡ್ ಸ್ಪರ್ಧಿಲೆಡ್ ಒರಿಯೆ ಆಯೆರ್"
"This is the second such incident in the past few days.","ಸೀತದ ಪನಿ ಬೂರಿನ ಜಾಗೆದ ೧ ಸೆ"
"Vastukumar Perl )","ವಸಂತಕುಮಾರ ಪೆರ್ಲ)"
"Tulu nadu dava aradhana is the most important part and gaitonundu is the main element when it comes to aradhanam.","ತುಳು ನಾಡು ಡ್ ದೈವ ಆರಾಧನೆ ಮಸ್ತ್ ಪ್ರಮುಖ ಪಾತ್ರ ಗೆಟೋನುಂಡ್ ಅಂಚನೆ ನಾಗ ಆರಾಧನೆ ಲ ಮಸ್ತ್ ಪ್ರಮುಕ ಆರಾಧನೆ"
"The 1932 session of the Assembly was the last session for the Communist Party of India-Marxist ( CPI-M ).","1932 ಟ್ ತನ್ನ ಕೆಲಸ ಶುರು ಮಲ್ತ್ ದ್ಂಡ್ ಉಂದು ಕ್ರೈಸ್ತ ಧರ್ಮದ ಪ್ರೊಟಸ್ಟಂಟ್ ಗುಂಪುಗು ಸೇರ್ದಿನ ಸಭೆ ಆದುಂಡು"
"However  there is no time limit on the number of people who can visit the museum.","ಹಿಂದೂ ದರ್ಮೊ ಜಗತ್ತ್‌ದ ಮೂಜಿನೇ ಮಲ್ಲ ದರ್ಮೊ"
"On the other hand  on the other side of the ball  you can see that the ball is moving in the direction of Malini Thapas.","ಎಂಚಾಂಡಲಾ ಆನ್ ಬಾಲೆ ಪುಟ್ಟೊಡುಂದ್ ನಿರ್ಧಾರ ಮಲ್ತಿನ ಮಾಲಿನಿ ತಪಸ್ಸ್ ಗ್ ಕುಲ್ಲಿಯಾಲ್"
"Jan Darshan's type of book is called Jantar Mantar.","ಜೈನ ದರ್ಶನದ ಪ್ರಕಾರ ಜಗತ್ತ್ ಬುಕ್ಕೊ ಜೀವ (ಆತ್ಮ) ಅನಾದಿ ಆಯಿನವು"
"In addition to the above-mentioned benefits  you can also buy a multi-year contract with a new partner of Gromin Kootenbøllegg AG.","ಸಾಧನೆ ಅಜಿತ್ ಶಾ ಮಲ್ತಿನ ಪೊಜೊವುಲೆನ ಸಂಗೊ ಉಂದು ಗ್ರಾಮೀಣ ಕುಟುಂಬೊಲೆಗ್ ಅಗತ್ಯವಾಯಿನ ಕೊನೆತ ಮೈಲ್ ಸಂಪರ್ಕೊನು ಒದಗಿಸವುನ ಮಹಿಳೆಯೆರೆನೊಟ್ಟುಗು ಬುಕ್ಕೊ ಅಕುಲೆಗಾತ್ರ ಕೆಲಸ ಮಲ್ಪುಂಡು"
"Balle Buldand Coupe Barbanduo ( बाले बुल्ड कोप बर्पुन्दु )","ಬಾಲೆ ಬುಲ್ತ್ಂಡ ಕೋಪ ಬರ್ಪುಂಡು"
"चलन्चित्र / किरुतेरे : क्रा","ಚಲನಚಿತ್ರ / ಕಿರುತೆರೆ: ಕ್ರ"
"A new book for the month of September","ಮಸ್ತ್ ನಾಚಿಗೆ ಸೊಬಾವೊದ ಪಕ್ಕಿ"
"Pump a new piece of paper into the wall with a netted sheet of paper.","ದಯಿ ಬುಳೆಯಿಲೆಕೊನೆ  ಪೊಸ ಕಂಡೆ ನೆಲತ್ತಡಿಟ್ ಬುಳೆವೊಂದು ಪೋಪುಂಡು"
"html : Can 't find the code to open a new book?","html ಉರಳಿ  ಹೊಲಿಯ ಬುಕ್ಕೊ ಸೋಲಿಗ ಕೂಡ ಕನ್ನಡೊಡಗು ಕೈತಲ್‍ದವು"
"The greater the aerobic capacity  the higher the growth relationship  the more likely it is that there will be an increase in the number of respiratory and viral diseases  and the greater the incidence of biologic injuries and cuts.","ವಾತಾವರಣದ ಉಷ್ಣತೆ ಹೆಚ್ಚಿದಂತೆ ಹೃದಯ ಸಂಬಂಧಿತ  ಶ್ವಾಸಕೋಶ ಹಾಗೂ ವೈರಲ್ ರೋಗಗಳ ಪ್ರಮಾಣ ಹೆಚ್ಚುವ ಸಂಭವವಿದೆ  ಮತ್ತು ಬಯಾಲಾಜಿಕಲ್ ಸೋರ್ಷಕಗಳು ಮತ್ತು ಕೀಟಗಳು ಹೆಚ್ಚು ಸಕ್ರಿಯವಾಗಬಹುದು"
"Thank you very much to the people of Tarakasura who came to pay obeisance to Lord Buddha.","ತಾರಕಾಸುರನ ಉಪದ್ರೊಡರ್ದ್ ದೇವತೆಲು ಅಂಚನೆ ಭೂಮಿಡಿತ್ತಿನ ಜನಕುಲು ಬಾರೀ ದುಃಖೊಡು ಇತ್ತೆರ್"
"Left to right change Congress book JD ( S ) candidate Sumer Sanchadhar Akalna with Rajiname Karned Davar and Kumarswamy Gurkarti","ರಾಜಕೀಯ ಬದಲಾವಣೆಲು ೨೦೧೯ನೇ ಜುಲಾಯಿಡ್  ಕಾಂಗ್ರೆಸ್ ಬುಕ್ಕ ಜೆಡಿಎಸ್ ಪಕ್ಸೊದ ಸುಮಾರ್ ಸಂಸದೆರ್ ಅಕಲ್ನ ಸ್ತಾನೊಗು ರಾಜಿನಾಮೆ ಕೊರ್ನೆಡ್‌ದಾವರ  ಕುಮಾರಸ್ವಾಮಿ ಗುರ್ಕಾರ್ತಿಗೆದ ಸಂಯುಕ್ತ ಸರ್ಕಾರ ಬೂರುದು ಪೋಂಡು"
"Thuare eri talun and jaatigal naanil more sernd.","ತೂವರೆ ಇರೆ ತಾಲುನ ಮರತ್ತ ಜಾತಿಗ್ ನಾನಿಲ್ ಮರ ಸೇರ್ದ್೦ಡ್"
"Left Autonomy and Development Committee Chairman Mair Rajpati Babu Rajender's speech was followed by a valueless Patel's worthless Abul Kalam Azad.","೧೯೪೭ ಟ್ ಸ್ವಾತಂತ್ರ್ಯ ಬತ್ತಿ ಬುಕ್ಕ ಸಂವಿಧಾನ ಸಭೆ ಕ್ ನೇಮಕ ಆಯಿನ ಮೇರ್ ರಾಷ್ಟ್ರಪತಿ ಬಾಬು ರಾಜೇಂದ್ರ ಪ್ರಸಾದ್  ನೆಹರು  ವಲ್ಲಭಾಯಿ ಪಟೇಲ್  ಮೌಲಾನ ಅಬುಲ್ ಕಲಾಮ್ ಅಝಾದ್ ಬುಕ ಅಂಬೇಡ್ಕರ್ ಮೆಕುಲ್ನೊಟ್ಟುಗು ಬೇಲೆ ಮಲ್ತಿತ್ತೆರ್"
"Yakshagand Bhagwat Rath Valler  who was elected to the Lok Sabha for 15 years from Sumer","ಸುಮಾರ್ 15 ವರ್ಷ ದಿಂಚಿ ತೆಂಕುತಿಟ್ಟು ಶೈಲಿದ ಯಕ್ಷಗಾನಡ್ ಭಾಗವತೆ ರಾದ್ ಉಲ್ಲರ್"
"Category : Thullu Sprague and Edit-Athon","ವರ್ಗ:ತುಳು ಸ್ಪ್ರಿಂಗ್ ಮಂತ್ ಎಡಿಟ್-ಅಥಾನ್"
"The next step of the application process is to find out if I want to use the latest version of my JAGED KARNIK MERCHANDING PRODUCT LAPTOP.","ಅಪ್ಪೆಲೆಕ ಬೆರಿ ಪತ್ತ್ ಬತ್ತಿನ ಪೊಸಪ್ಪೆ ನನಾ ಜಾಗೆಡ್ ಕಾರ್ನಿಕ ಮೆರೆದ್ ಸತ್ಯದೇವತೆ  ಪೊಸಬೂತ ಪನ್ಪಿನ ನಾನಾ ಪುದರ್ಡ್ ಲೆಪ್ಪಾದ್ ತುಳುನಾಡುಡು ಮೆರೆವೂಂದುಂಡು"
"The next day  I went to the hospital.","ಅಂಚನೆ ಆಮದು ಮಲ್ತಿನ ಚಿತ್ರೊಲಾಯಿನ"
"N T Arthashastra scientist Tirgo left the same training and special lecture.","ಅನ್ಸ್‌ತ ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞೆರ್ ಟಿರ್ಗೋ ೧೭೬೬ಟ್ ಅವೇ ತೆರನಾತ್ ವಿಷಯೊನ್ ಪ್ರಸ್ತಾಪ ಮಾಲ್ತೆ"
"A new type of checker shadow illusion is a special golden baguette with a bulb box for the Bramen Thule Aristotle book and product design.","ಚಿತ್ರೊದ ಪರೀಕ್ಷೆದ checker shadow illusionನಿರೆಲ್‌ದ ಬ್ರಮೆನ್ ತೂಲೆ ಅರಿಸ್ಟಾಟಲ್ ಬುಕ್ಕೊ ಬೇತೆ ಪಿರಾಕ್‌ದ ವಿಜ್ಞಾನಿಲು ಬೊಲ್ಪು ಬುಕ್ಕೊ ಬಣ್ಣೊದ ದ್ರಿಷ್ಟಿದ ಸ್ವರೂಪೊದ ಬಗೆಟ್ ದುಂಬೇ ಬರೆತರ್"
"Because of the prevailing permafrost-driven air conditioning ( which requires a bucket of air to move )  only one type of permaffrost with a bulwark is supplied.","ಪರ್ವತ ಪರ್ಮಾಫ್ರಾಸ್ಟ್  ಅಯಿತ ಹವಾಮಾನ ಸೆಟ್ಟಿಂಗ್ (ಸೌಮ್ಯ ಚಳಿಗಾಲ ಬುಕ್ಕೊ ತಂಪು ಬೇಸಿಗೆ) ಕಾರಣ  ಒಂಜಿ ರೀತಿದ ಪರ್ಮಾಫ್ರಾಸ್ಟ್ ಉಂದು ಬಲವಾದ್ ಉಪ್ಪುಂಡು"
"New York  Berlin  Moscow  Japan  Germany  and the United States.","ಚಂದ್ರಶೇಖರ ಕಂಬಾರ ಇಂಬೆರ್ ಕನ್ನಡೊದ ಕಥೆಗಾರೆ  ಕವಿ  ಕಾದಂಬರಿಕಾರೆ  ನಾಟಕಕಾರೆ  ಪ್ರಾಧ್ಯಾಪಕೆರ್  ಕುಲಪತಿಲು  ಚಿಕಾಗೊ  ನ್ಯೂಯಾರ್ಕ್  ಬರ್ಲಿನ್  ಮಾಸ್ಕೋ  ಜಪಾನ್ ಇಂಚಿತ್ತಿ ಕಡೆತ ಕೆಲವು ವಿಶ್ವವಿದ್ಯಾನಿಲಯೊಡು ಜಾನಪದೊ ಬುಕ್ಕೊ ರಂಗಭೂಮಿದ ಬಗೆಟ್ ಉಪನ್ಯಾಸೊಲೆನ್ ಕೊರ್‍ನ ಪೆರ್ಮೆ ಆರೆಗ್ ಉಂಡು"
"Increase your portfolio with the help of Yelahanka ( Tamil Nadu ).","ಉಲ್ಲಾದಕ್ಕಂ (೧೯೯೧) ಚಿತ್ರೊಡು ತನ್ನ ಪಾತ್ರೊಗು ಮೆಚ್ಚುಗೆ ಗೆಂದಿಯೆರ್"
"[ citation needed ] Or one of the Romantic Kavi's attempts to change the Gair with the Suru Multithreaded Arshi  which resulted in the creation of the Multitasking Object.","[ ಉಲ್ಲೇಖ ಬೋಡು ] ಆರ್ ಒರಿ ರೊಮ್ಯಾಂಟಿಕ್ ಕವಿ ಆದ್ ತನ್ನ ಪ್ರಯಾಣೊನು ಸುರು ಮಲ್ತೆರ್ಂಡಲಾ  ಆರ್ ಶೀಘ್ರೊಡು ಗೇರ್ ನ್ ಬದಲಾವಣೆ ಮಲ್ತೆರ್ [ ಉದ್ದೇಶ] ಬೊಕ್ಕ ಪ್ರಗತಿಪರ ಬರವುದಕುಲೆನ ಚಳುವಳಿದ ಭಾಗವಾದ್ ಬತ್ತೆರ್"
"Smt.Agarwal Amsterdam Book New York : Road to the left.","ಸ್ಮಿತಾ ಅಗರ್ವಾಲ್  ಆಮ್ಸ್ಟರ್ಡ್ಯಾಮ್ ಬುಕ್ಕೊ ನ್ಯೂಯಾರ್ಕ್: ರೊಡೊಪಿ  ೨೦೧೪"
"The T20 World Cup was a golden opportunity for Pakistan when it became Sri Lanka in 2011.","ಪಾಕಿಸ್ತಾನ 2011ಡ್ ಶ್ರೀಲಂಕಾಡ್ ಆಡೊಂದಿತ್ತಿನಗ ಟಿ20 ಬೊಕ್ಕ ಒಡಿಐ ಸ್ವರೂಪೊಡು ಸುರುತ ಟೂರ್ನಿ ಗೆಂದಿನವು"
"Take a look at some of the best places to visit in India.","ಅಯಿಟ್ ಸೇರಾವುನ ಲೇಕನೊಲು ವಿಶ್ವಕೋಶೊಗು ತಕ್ಕಂದಿನ ಆದಿಪ್ಪೊಡು"
"They are also familiar with the concept of Ponzuol culture.","ಪೊಂಜುವುಲ್ ಕಲ್ತೆರ್ ಡ ಅವು ಅಕಲೆನ ಉದ್ಯೋಗೊಗು ತಾದಿ ತೋಜಪಾವುಂಡು"
"Prestige / Puraskar'AM","ಪ್ರಶಸ್ತಿ/ಪುರಸ್ಕಾರ 'ಎಮ್"
"With the help of a photo description board  you can create a full-fledged description of the whole system and the health-oriented application.","ಫೋಟೊಲು  ಅಯಿತ ವಿವರಣೆಲು  ಬೋಡಾಯಿನ ಪದಾರ್ಥೊಲು  ತಯಾರಿ ಮನ್ಪುನ ವಿಧಾನೊ  ಆರೋಗ್ಯಕ್ ಉಂದೆಡ್ ಆಪಿನಾ ಪ್ರಯೋಜನೊಲು ಪೂರಾ ಬಗ್ಗೆಲಾ ವಿವರಣೆ ಕೊರ್ತೆರ್"
"The first part of the problem is to calculate the cost of the next step  which is to find out how much the population has decreased due to the increase in the population and the effect on the environment.","ಸಾಹಿತ್ಯೊದ ಪೊಲಬು ಮಂದಾರ ಕೇಶವ ಭಟ್ರೆ ಬೂಕುಲು ತುಳು ಜನಪದ ಸಾಹಿತ್ಯೊದ ಪಾಡ್ದನ-ಕಬಿತೆಲು  ಜನಪದ ಕತೆಕುಲು  ತುಳುವೆರೆ ನುಡಿಕಟ್‍ಲೆ ಮಿತ್ತ್ ಪ್ರಭಾವೊ ಆತ್ಂಡ್"
"There is a three-cut tail.","ಒರಿ ತನ್ನ ಕೈಟ್ ತಾಲ್ ಪತೊಂದು ಉಲ್ಲೆ"
"Therefore  in order to save energy  the aeronautical engineer has to find a way to increase the efficiency of the aerospace industry.","ನರಸಿಂಹ ಹಿರಣ್ಯಕಶ್ಯಪ್ ರಕ್ಕಸೆನ್ ವಧೆ ಮಲ್ತಿನ ಬುಕ್ಕೊ ದೇವೆರ್-ದೇವತೆಲು ಅರೆನ ಕೋಪೊನು ಶಾಂತ ಮಲ್ಪೆರೆ ಸಾಧ್ಯ ಆಯಿಜಿ"
"For the purpose of the quiz  take a look at some of the most common questions and answer keys.","ಕಾಜಿದ ಬಳಕೆ ಸಾಮಾನ್ಯವಾದ್ ಪೊಣ್ಣು ಜೋಕುಲು  ಪೊಂಜೊನಕುಲು  ಅಬನಕುಲು  ಕಂಡನಿ ಇತ್ತಿನಕುಲು ಅಕ್ಲೆನ ರಡ್ಡ್ ಕೈಕ್ ನಿಲಿಕ್ಕೆ ದೀಡೊನುನ ಕಾಜಿ"
"The most important part of the kit is to have a box-shaped frame for the main body.","ಕೋಟೆದ ಬಹುತೇಕ ಭಾಗ ಇತ್ತೆಲಾ ಉಂಡು  ಮುಖ್ಯ ಫಿರಂಗಿಲು ಬುಕ್ಕೊ ಸೈನಿಕೆರೆನ ಬ್ಯಾರೆಕ್ ಲೆನೊಟ್ಟುಗು"
"Net one and supply one full bill of laden nailed pad.","ನೆಟ್ಟ್ ಒಡು ಅನಂಡ ಸಪಾಯಿ ಎಪ್ಪುನ ಬಿಲ್ಲೆಲೆನ ನೆಲಡ್ ಪಾಡ್ತ್ ಗೊಬ್ಬುನ"
"Rd Year 240 Mts","ರಡ್ಡ್ ವರ್ಷೊಡು 240 ಮಿ"
"More than one book in Tamil NaduPicherladeNataneMuldairImage caption : More than two books in Tamil  three books in three languages","ಮೇರ್ ಎಚ್ಚಾದ್ ಕನ್ನಡ ಬುಕ್ಕ‌ ತಮಿಲ್ ಪಿಚ್ಚರ್ಲೆಡ್ ನಟನೆ ಮಲ್ದೆರ್"
"For example  in the case of the Sustainable Development Project  the project will be funded by the Government of India through the Ministry of Rural Development and Panchayati Raj.","ಉಂದೆನ್ ಸತ್ಯನಾರಾಯಣ ಪೂಜೆ  ಸತ್ಯನಾರಾಯಣ ವೃತೋ ಪಂಡ್ ದ್ ಲಾ ಪನ್ಪರ್"
"The left % of the people are saucers","ಊಂದೆಟ್ ೮೭ % ಜನ ಸಾಕ್ಸರೆರ್"
"Get a copy of the same for this net worth challenge.","ಈ ನೆಲೆಟ್ ಅವೆತ ಚಾಲನೆಗು ಸಮುದಾಯದ ಒಮ್ಮತೊ ಬೊಡು"
"Give the best monthly salary to the employee. युपाती के मांदार रामायन परिश्यक देहा ।","ಯದುಪತಿ ಗೌಡ ಮಂದಾರ ರಾಮಾಯಣ ಪರಿಚಯ ಡಾ"
"India's contribution has gone from being a strategic partner to a constructive partner in the development of the region.","ಭಾರತೊದ ಉಪಕಂಡೊಡು ಪ್ರದಾನೊ ದಾರ್ಮಿಕ ಸಂಪ್ರದಾಯವಾದೊ ಹಿಂದೂ ದರ್ಮೊ ಕಳನಾಡಿಲು ಆಚರಿಸವುನ ಪ್ರಾತಮಿಕ ದರ್ಮೊ"
"Do you have a personal experience with the design budgeting process?","ಸಹ್ಯಾದ್ರಿ ಬೆಟ್ಟ ಪ್ರದೇಶೊಡು ಯಾನಲಾ ಒಂಜಿ ಪ್ರವಾಸಿ ತಾನೊ ಆದುಂಡು"
"So  that is the negative impact of the negative feedback from the customer service provider on the overall customer experience.","ಮೀ ಹವಾಮಾನ ಕುಡ್ಲಡ್ ಉಷ್ಣವಲಯದ ಮುಂಗಾರು ವಾತಾವರಣ ಉಪ್ಪುನೆರ್ದಾತ್ರ ನೈಋತ್ಯ ಮುಂಗಾರುದ ಅರೇಬಿಯನ್ ಸಮುದ್ರದ ಶಾಖೆದ ನೇರ ಪ್ರಭಾವ ಉಂಡು"
"Buy a Lankesh Patrike with an E-mail ID and send it to the person who bought it.","ಇಂಬೆರ್ ಕನ್ನಡೊಡು ಲಂಕೇಶ್ ಪತ್ರಿಕೆ ಬುಕ್ಕೊ ವಾರೊಗೊರ ""ಗೌರಿ ಲಂಕೇಶ್ ಪತ್ರಿಕೆ"" ಪನ್ಪಿ ಪುದರ್‌ದ ಪತ್ರಿಕೆನ್ ನಡಪಾವೊಂದಿತ್ತೆರ್"
"Sirsumar Udupi Surwandad Barkur is the place to be from now on.","ಸರಿಸುಮಾರ್ ಉಡುಪಿ ಸುರುವಾಂಡ ಬಾರ್ಕೂರು ಮುಟ್ಟ ಇತ್ತಿದಿನ ಈ ತುಳುನಾಡ್ ಹಿಂದು  ಮುಸ್ಲಿಂ  ಅಂಚೆನೆ ಕ್ರಿಶ್ಚಿಯನ್ ಪೂರ ಜಾತಿ  ಭೇದ  ಮತ ಪನಂದೆ ಅಣ್ಣೆ ಮೆಗ್ಯೆಲು ಲೆಕ ಬದುಕುನಂಚಿನ ಈ ತುಳುನಾಡ್"
"Aarey Poetry Sangrahal Everythig Business Elsevier 2012 The United Kingdom BlueDox Books Book Company Cooper Press 2013 The Producer","ಅರೆನ ಕಬಿತೆ ಸಂಗ್ರಹ  ಎವೆರಿಥಿಂಗ್ ಬಿಗಿನ್ಸ್ ಎಲ್ಸೆವೆರ್  2012ಡ್ ಯುಕೆಡ್ ಬ್ಲೂಡಾಕ್ಸ್ ಬುಕ್ಸ್ ಬೊಕ್ಕ ಕ್ಯಾನ್ಯನ್ ಕಾಪರ್ ಪ್ರೆಸ್ಸ್ ಡ್ 2013ಡ್ ಪ್ರಕಟಿಸಯೆರ್"
"Describe a full-blooded package prepared using the Kundanji method.","ಕುಡೊಂಜಿ ವಿಧಾನೊಡು ಪಜಿ ತಾರಾಯಿದ ಪೂನು ಬನಲೆಡ್ ಪೊದ್ಪುದು ಎಣ್ಣೆ ದೆಪ್ಪೆರೆಲಾ ಆಪುಂಡು"
"Businessman's shirt ( â € ̃ chinaâ € TM or Nepalese-Kundli ) is a double-legged long-sleeved shirt worn by the owner of the company.","ಆರ್ ಜ್ಯೋತಿಷ್ಯದ ಜನ್ಮ ಚಾರ್ಟ್ (""ಚೀನಾ"" ಅಥವಾ ನೇಪಾಳಿಡ್ ""ಜನ್ಮ-ಕುಂಡಲಿ"") ಅರೆನ ದೇಹೊದ ಬದಲ್ಗ್ ಶಂಖಮುಲ್ ಘಾಟ್‌ಡ್ ಅರೆನ ಮಗೆನಕುಲು  ಅನು ರಾಜ್ ಜೋಶಿ ಬುಕ್ಕೊ ಪೂರ್ಣ ರಾಜ್ ಜೋಶಿ ಸೇರುದು ಅಂತ್ಯಕ್ರಿಯೆ ಮಂತೆರ್"
"Bhaktar Pataudi is a small village with a large population of farmers  who are dependent on Paddy  Tezka  Bikaner  Jaipur  Jodhpur  Udaipur  Rajasthan  Madhya Pradesh  Rajasthan and Uttar Pradesh.","ಭಕ್ತೆರ್ ಪೊತ್ತಾಯಿ ಮೇಣದ ಬತ್ತಿ ಪೊತ್ತಿಬುಕ್ಕೊ ಅವೆನ್ ಚಂಡಿ ಗೋಣಿ ಪಾಡ್ದ್ ತೆಕ್ಕಾದ್ ಬಾಕಿದಕೆಲೆಗ್ ಅವಕಾಶ ಮಲ್ತ್ ಕರ‍್ಪಿನವೆನ್ ತೂಪಿನವೇ ಒಂಜಿ ಪೊರ್ಲು"
"Find out what is the meaning of the past participle of the present participle.","ಖೋನ್ ಡ್ ಕೆಲವು ಸನ್ನೆಲು ಪಾತೆರುನ ಪಾತೆರೊಲೆಡ್ದ್ ಲಾ ಜಾಸ್ತಿ ಪರಿಣಾಮಕಾರಿಯಾದ್ ಅರ್ಥೊನು ತೆರಿಪಾವೊಲಿ"
"When he came to the Prime Minister  he asked me to sit down.","ಅವು ಮನದಾನಿ ಆವನಗ ಬೇತೆನೇ ಸುದ್ದಿ ಆಪುಂಡು"
"It is affiliated to the Central Institute of Technology  Mysore.","ಮೈಸೂರ್‌‌ದ ಸೆಂಟ್ರಲ್ ಇನ್‌ಸ್ಟಿಟ್ಯೂಟ್ ಆಫ್ ಲ್ಯಾಂಗ್ವೇಜಸ್‌ಡ್ ಸಂಶೋಧನಾ ಸಹಾಯಯಕಿ ಆದ್ ಇತ್ತೆರ್"
"A self-contained software package with a separate application for your business provides you with a set amount of Betload ( â € œDesirement Betâ € ).","ನೂವೊ ಯಾಜಕೆರೆನ ಪ್ರತಿಯೊಂಜಿ ಆದೇಶೊಗು ಅಯಿತ ಸ್ವಂತ ಸ್ಥಾಪಕೆರ್ ಉಪ್ಪುವೆರ್  ಅಕುಲು ಸಮರ್ಪಿತ ಬೆಟ್ಟೊಲೆಡ್ (""ಆದೇಶದ ಬೆಟ್ಟ"") ಗೌರವೊನು ಪಡೆಯೆರ್"
"cspt-team-member=sreelekha-ips सुरुत्त विश्तिजियन पोल्स सेवेग शेरुना दुन्भु श्रीलेक्षा शर्यद्धिराज कालेजिड प्रत्राद्र बेले में लित्यार","cspt-team-member=sreelekha-ips ಸುರುತ ವೃತ್ತಿಜೀವನ ಪೊಲೀಸ್ ಸೇವೆಗ್ ಸೇರುನ ದುಂಬು  ಶ್ರೀಲೇಖಾ  ಶ್ರೀ ವಿದ್ಯಾಧಿರಾಜ ಕಾಲೇಜಿಡ್ ಉಪನ್ಯಾಸಕೆರಾದ್ ಬೇಲೆ ಮಲ್ತೆರ್"
"Or say a small opponent is an important member of the community ( Kullukund Shivarathri )  and then the war is over.","ಆರ್ ಕುಟುಮೊದ ವಿರೋಧೊನು ಎದುರಿಸಾದ್ ಬೇತೆ ಒರಿ ಪ್ರಮುಖ ಕನ್ನಡ ಸಾಹಿತಿ ನಿರಂಜನ (ಕುಲಕುಂದ ಶಿವರಾವ್) ಅರೆನ್ ಅಂತರ ಜಾತಿ ಮದಿಮೆ ಆದ್ ಸಮಾಜೊಗು ಮಾದರಿ ಆಯೆರ್"
"Bete Bassed Timer's Chutney is here - Brahmi Lush Chutni । ब्रामी लुस चुत्त्नी ।","ಬೇತೆ ಬಾಸೆಡ್ ತಿಮರೆದ ಚಟ್ನಿ ಇಂಗ್ಲಿಷ್ - ಬ್ರಾಹ್ಮಿ ಲೀವ್ಸ್ ಚಟ್ನಿ"
"Ati aamchadani kaaird gale nadpun thal banti bappi rather kaair and gale len kand aakul.","ಆಟಿ ಅಮಾಸೆದಾನಿ ಕಾಯೇರ್ದ ಗೆಲ್ಲ್ ನಡ್ಪುನ ಆಡಿ ತಿಂಗೊಳ್ದ ಅಮಾಸೆದಾನಿ ಸೂರ್ಯ ದೇವೆರ್ ಉದಿಪೆರೆಗ್ ದುಂಬೆ ಬೆನ್ನಿ ಬೆನ್ಪಿ ರೈತೆರ್ ಕಾಯೇರ್ ಮರತ ಗೆಲ್ಲ್ ಲೆನ್ ಕಡ್ತ್ ಕನತ್ ದ್ ಅಕುಲು ಬೆನ್ಪಿ ಮಾತಾ ಕಂಡೊಲೆದ ನಡುಟ್ಟು ಊರ್ಬೆರ್"
"The yid ring is attached to the vortex of that vasagel-associated protein.","ಅಯಿಡ್ದ್ ದುಂಬು ಆ ಬಾಸೆಗ್ ಸಂಬಂಧ ಪಟ್ಟಿನ ವಿವರೊಲು ಅತ್ ಗೊತ್ತುಜ್ಜಿ"
"For example  for a large number of people in a high-tech business environment  you can use a Server model.","ಉಂದು ಹೆಚ್ಚದ ಸರ್ತಿ ಸಾರ್ವಜನಿಕ ಜಾಗೆಲೆಡ್ ಜನೊಕುಲು ನಲಿಪುನ ಉದ್ದೇಶೊಡು ಒಟ್ಟು ಸೇರ್ದ್ ಆಚರಣೆ ಮಲ್ಪುವೆರ್"
"There is a secretary of the board of directors of the corporate structure department  private sector department  public sector undertakings  etcetera.","ಸಂವಿಧಾನ ರಚನಾಸಭೆಟ್ ಭಾರತದ ಬೇತೆ ಬೇತೆ ಪ್ರದೇಶೊಲೆಗ್ ಬುಕ್ಕೊ ಸಮುದಾಯೊಲೆಗ್ ಸೇರ್‌ನ ಸದಸ್ಯೆರ್ ಇತ್ತೆರ್"
"When it comes to intelligence  Bullpoo is a corporate organization.","ಸುಚ್ಚಿ ಒತ್ತ್‌ನಗ ಬೊಲ್ಪು ಕೊರ್ಪುನ ವ್ಯವಸ್ಥೆ ಆದ್ ಉಂಡು"
"Wa daaon laa udupunnae uddupunnaye aur aaand kulnae nalnae laddai aur ekundu aa gayagi referee hai.","ವಾ ಡಾವುನ್‌ಲಾ ಮಲ್ಪಂದೆ  ಉಂತ್‍ನಲ್ಪನೇ ಉಂತ್‍ನಂಚನೇ ಅತ್ತ್ಂಡ ಕುಲ್ಲ್‌ನಲ್ಪನೇ ಕುಲ್ಲ್‌ನಲ್ಪನೇ ಒರಿಯಗೊರಿ ಲಡಾಯಿ ಮಲ್ತೊಂದು ಇತ್ತ್ಂಡ  ಒರಿಯೊರಿಯಗ್ ರೆಫರಿ ಎಚ್ಚರಿಕೆ ಕೊರ್ಪೆ"
"Or रागी कों इंच बेते भेटे नेमने लिए पुडिट मेल्पुना अनुजी तेन्यास","ಅರಿ  ರಾಗಿ  ಕುವೆ  ಇಂಚ ಬೇತೆ ಬೇತೆ ನೆಯ್ಮೆನೊದ ಪೊಡಿಟ್ ಮಲ್ಪುನ ಒಂಜಿ ತೆನಸ್"
"For example  at the 1966 World Championships  India won the bronze medal.","ಉಂದು 1966 ಮಿಸ್ ವರ್ಲ್ಡ್ ಸ್ಪರ್ಧೆಡ್ ಭಾರತೊನು ಪ್ರತಿನಿಧಿಸೆರೆ ಅರ್ಹತೆ ಕೊರ್ತುಂಡು"
